Parameter,Value
Latest Close,1290.9000244140625
Daily Return,-2.1303999686078434
Cumulative Return,35.48117644217707
Portfolio Return,-7.792855398995535
Annual Volatility,22.3562794025787
Risk Category,Medium Risk
Market Change,0.8204290489429404
Market Trend,Neutral ➖
