Date,Close,High,Low,Open,Volume,Daily Return (%),Cumulative Return (%),MA20,MA50
2021-08-04,952.8261108398438,957.468493410625,945.239695070289,948.5912889902256,13169800.0,,0.0,,
2021-08-05,966.6400756835938,975.9474827845528,953.0525024475676,957.604315821072,21252078.0,1.4497886536268378,1.4497886536268378,,
2021-08-06,946.168212890625,972.3921457790564,941.5031281309346,964.6925186544,16620987.0,-2.117837166899106,-0.698752676220249,,
2021-08-09,940.7783813476562,946.507831687124,935.9548011334764,942.5221349162108,7494143.0,-0.5696483426030907,-1.264420585784365,,
2021-08-10,945.7151489257812,957.0154935941664,939.2384442496344,942.9750161589805,11919198.0,0.5247535100724843,-0.7463021671178516,,
2021-08-11,958.9631958007812,960.1860577584648,943.6092848870804,949.7462968396886,9184963.0,1.4008495993797163,0.6440928613436148,,
2021-08-12,955.8832397460938,962.994047792915,953.3921717385532,962.4052292074406,8137612.0,-0.3211756267784138,0.3208485652807402,,
2021-08-13,971.8032836914062,973.7282353115996,955.181228214771,958.9630848706248,12780901.0,1.6654799753096583,1.991672209196227,,
2021-08-16,984.4171142578124,997.7782056289792,963.8772875225334,973.4791642916643,21935444.0,1.297981883585786,3.315505637237792,,
2021-08-17,980.2276000976562,989.716205298415,972.7997402220516,982.31104758478,12658169.0,-0.4255832308761476,2.8758121703508,,
2021-08-18,984.0321655273438,990.4409443539316,974.9511803260804,984.6436264377176,10075860.0,0.3881308207714706,3.2751049045029124,,
2021-08-20,972.9810180664062,983.7377705115616,967.8856701396296,970.6031610804986,9426282.0,-1.1230473807749108,2.115276543880329,,
2021-08-23,979.3671264648438,984.6436123486905,965.756910089194,984.6436123486905,9854395.0,0.6563446028092557,2.7855046501198637,,
2021-08-24,989.0369262695312,992.7961409161452,976.3098780018888,980.5899844960272,11864472.0,0.9873518870897602,3.800359269937559,,
2021-08-25,997.5969848632812,1005.4778098902966,987.4063495975512,989.8068486851396,13380559.0,0.8654943376115387,4.698745501839308,,
2021-08-26,1010.2107543945312,1016.7554463089576,998.6839861429404,1000.0427614622416,18589616.0,1.2644153623798893,6.022572524183589,,
2021-08-27,1008.829345703125,1015.7817181947378,1003.6887734868196,1013.1773788430728,10480636.0,-0.136744603578709,5.87759237768144,,
2021-08-30,1028.2369384765625,1030.7733511879242,1013.086868200183,1019.0653841621984,14027062.0,1.9237736150419904,7.914437564085008,,
2021-08-31,1022.7566528320312,1034.351288521445,1015.55521517705,1031.2488192815088,26485463.0,-0.5329788728122176,7.339276411154283,,
2021-09-01,1026.81005859375,1038.4953813339248,1024.9531537088544,1029.4823244235874,11145486.0,0.3963216225966182,7.764685173110442,981.1640167236328,
2021-09-02,1039.1749267578125,1045.2440116453542,1021.32994830324,1021.32994830324,9956770.0,1.2042020878716864,9.062389761953394,985.4814575195312,
2021-09-03,1081.7945556640625,1084.738529222682,1042.8436314734115,1046.2404503177634,30664428.0,4.101294960918822,13.53536005751803,991.2391815185547,
2021-09-06,1098.5977783203125,1123.2365131929273,1092.4380047519112,1092.8909697996994,33641710.0,1.5532729914632617,15.298874141052044,998.8606597900391,
2021-09-07,1105.5274658203125,1113.2723180946527,1092.438080851026,1100.5906136768078,17349882.0,0.6307756702908174,16.02615138725303,1007.0981140136719,
2021-09-08,1101.201904296875,1111.460525484485,1090.01483063056,1110.5547152662286,14301651.0,-0.3912667624433763,15.572179621132465,1014.8724517822266,
2021-09-09,1098.5977783203125,1104.145971203985,1094.29502966748,1099.6394421897962,8963249.0,-0.2364803372025825,15.298874141052044,1021.8541809082031,
2021-09-13,1074.1175537109375,1101.949327153265,1072.5323557228828,1101.949327153265,16311160.0,-2.228315502949929,12.729651453840262,1027.7658966064453,
2021-09-14,1072.71337890625,1084.2853708994928,1071.6036685532945,1075.6799942004577,8908356.0,-0.1307282242838603,12.582281982253264,1032.8114013671875,
2021-09-15,1077.1746826171875,1085.0780298856923,1072.7360805602518,1072.7360805602518,9071075.0,0.4158896307871362,13.050500019121005,1037.4492797851562,
2021-09-16,1099.775390625,1103.647816826433,1072.056826477489,1078.646803599393,13448882.0,2.0981469739801195,15.4224656643416,1043.4266693115235,
2021-09-17,1082.7230224609375,1112.2986120196665,1075.9519071476225,1107.837367094816,34882133.0,-1.550531891277518,13.632803524517122,1048.3612121582032,
2021-09-20,1084.4439697265625,1095.3139316833478,1073.415392150155,1074.3664868663025,11779819.0,0.1589462152299603,13.813418564979042,1053.934359741211,
2021-09-21,1089.1318359375,1094.5215333838828,1079.7563812162018,1089.2676895218028,9915736.0,0.4322829340938305,14.305414550144224,1059.4225952148438,
